0-1 , PLN/MWh , 111.57 , MWh , 3 465.80 , 
1-2 , PLN/MWh , 146.88 , MWh , 3 066.20 , 
2-3 , PLN/MWh , 145.16 , MWh , 3 163.30 , 
3-4 , PLN/MWh , 145.07 , MWh , 3 096.10 , 
4-5 , PLN/MWh , 146.16 , MWh , 3 148.20 , 
5-6 , PLN/MWh , 150.92 , MWh , 3 511.00 , 
6-7 , PLN/MWh , 155.77 , MWh , 3 538.80 , 
7-8 , PLN/MWh , 197.13 , MWh , 3 161.40 , 
8-9 , PLN/MWh , 218.59 , MWh , 3 492.60 , 
9-10 , PLN/MWh , 220.79 , MWh , 3 635.20 , 
10-11 , PLN/MWh , 224.30 , MWh , 3 545.40 , 
11-12 , PLN/MWh , 230.87 , MWh , 3 843.00 , 
12-13 , PLN/MWh , 233.49 , MWh , 3 948.30 , 
13-14 , PLN/MWh , 244.17 , MWh , 4 077.80 , 
14-15 , PLN/MWh , 231.49 , MWh , 3 839.10 , 
15-16 , PLN/MWh , 228.89 , MWh , 3 662.70 , 
16-17 , PLN/MWh , 310.31 , MWh , 3 573.20 , 
17-18 , PLN/MWh , 270.74 , MWh , 3 411.70 , 
18-19 , PLN/MWh , 245.22 , MWh , 3 649.20 , 
19-20 , PLN/MWh , 230.08 , MWh , 3 796.90 , 
20-21 , PLN/MWh , 212.15 , MWh , 3 787.80 , 
21-22 , PLN/MWh , 186.76 , MWh , 3 257.50 , 
22-23 , PLN/MWh , 155.55 , MWh , 3 848.10 , 
23-24 , PLN/MWh , 146.41 , MWh , 3 093.90 , 
0-1 , PLN/MWh , 146.98 , MWh , 3 090.90 , 
1-2 , PLN/MWh , 143.49 , MWh , 3 224.20 , 
2-3 , PLN/MWh , 135.93 , MWh , 3 405.40 , 
3-4 , PLN/MWh , 134.27 , MWh , 3 524.00 , 
4-5 , PLN/MWh , 136.79 , MWh , 3 416.60 , 
5-6 , PLN/MWh , 145.14 , MWh , 3 359.00 , 
6-7 , PLN/MWh , 154.91 , MWh , 3 029.90 , 
7-8 , PLN/MWh , 185.12 , MWh , 3 182.50 , 
8-9 , PLN/MWh , 200.23 , MWh , 3 086.80 , 
9-10 , PLN/MWh , 207.62 , MWh , 3 382.80 , 
10-11 , PLN/MWh , 209.03 , MWh , 3 511.30 , 
11-12 , PLN/MWh , 211.07 , MWh , 3 589.20 , 
12-13 , PLN/MWh , 210.71 , MWh , 3 561.90 , 
13-14 , PLN/MWh , 212.67 , MWh , 3 371.10 , 
14-15 , PLN/MWh , 207.27 , MWh , 3 252.30 , 
15-16 , PLN/MWh , 207.47 , MWh , 3 256.20 , 
16-17 , PLN/MWh , 226.03 , MWh , 3 618.30 , 
17-18 , PLN/MWh , 224.32 , MWh , 3 492.90 , 
18-19 , PLN/MWh , 214.84 , MWh , 3 018.50 , 
19-20 , PLN/MWh , 203.83 , MWh , 3 182.80 , 
20-21 , PLN/MWh , 194.42 , MWh , 2 929.10 , 
21-22 , PLN/MWh , 163.71 , MWh , 3 179.30 , 
22-23 , PLN/MWh , 153.26 , MWh , 3 095.80 , 
23-24 , PLN/MWh , 147.12 , MWh , 3 033.20 , 
0-1 , PLN/MWh , 138.60 , MWh , 3 376.40 , 
1-2 , PLN/MWh , 134.80 , MWh , 3 235.00 , 
2-3 , PLN/MWh , 134.24 , MWh , 3 269.10 , 
3-4 , PLN/MWh , 134.55 , MWh , 3 184.30 , 
4-5 , PLN/MWh , 137.44 , MWh , 3 279.70 , 
5-6 , PLN/MWh , 140.49 , MWh , 3 350.30 , 
6-7 , PLN/MWh , 143.19 , MWh , 2 792.60 , 
7-8 , PLN/MWh , 153.39 , MWh , 2 954.10 , 
8-9 , PLN/MWh , 161.81 , MWh , 3 494.50 , 
9-10 , PLN/MWh , 171.22 , MWh , 4 063.20 , 
10-11 , PLN/MWh , 192.62 , MWh , 4 295.10 , 
11-12 , PLN/MWh , 196.36 , MWh , 4 297.30 , 
12-13 , PLN/MWh , 197.29 , MWh , 4 292.80 , 
13-14 , PLN/MWh , 197.81 , MWh , 4 328.50 , 
14-15 , PLN/MWh , 191.34 , MWh , 4 286.20 , 
15-16 , PLN/MWh , 191.60 , MWh , 4 255.30 , 
16-17 , PLN/MWh , 242.77 , MWh , 4 647.50 , 
17-18 , PLN/MWh , 246.79 , MWh , 4 719.10 , 
18-19 , PLN/MWh , 217.23 , MWh , 4 503.50 , 
19-20 , PLN/MWh , 199.40 , MWh , 4 547.90 , 
20-21 , PLN/MWh , 181.63 , MWh , 4 617.10 , 
21-22 , PLN/MWh , 161.71 , MWh , 3 971.40 , 
22-23 , PLN/MWh , 146.19 , MWh , 3 274.30 , 
23-24 , PLN/MWh , 142.50 , MWh , 3 248.70 , 
0-1 , PLN/MWh , 132.75 , MWh , 2 446.40 , 
1-2 , PLN/MWh , 119.84 , MWh , 2 454.70 , 
2-3 , PLN/MWh , 118.59 , MWh , 2 615.70 , 
3-4 , PLN/MWh , 117.15 , MWh , 2 786.90 , 
4-5 , PLN/MWh , 117.08 , MWh , 2 857.30 , 
5-6 , PLN/MWh , 118.23 , MWh , 2 999.40 , 
6-7 , PLN/MWh , 119.56 , MWh , 2 848.40 , 
7-8 , PLN/MWh , 100.22 , MWh , 2 683.10 , 
8-9 , PLN/MWh , 124.46 , MWh , 2 553.90 , 
9-10 , PLN/MWh , 136.72 , MWh , 2 885.50 , 
10-11 , PLN/MWh , 139.59 , MWh , 3 027.60 , 
11-12 , PLN/MWh , 141.80 , MWh , 2 964.60 , 
12-13 , PLN/MWh , 141.81 , MWh , 2 910.30 , 
13-14 , PLN/MWh , 141.89 , MWh , 2 925.70 , 
14-15 , PLN/MWh , 141.92 , MWh , 2 913.10 , 
15-16 , PLN/MWh , 142.17 , MWh , 2 992.30 , 
16-17 , PLN/MWh , 154.19 , MWh , 3 408.10 , 
17-18 , PLN/MWh , 166.84 , MWh , 3 634.60 , 
18-19 , PLN/MWh , 167.21 , MWh , 3 578.00 , 
19-20 , PLN/MWh , 170.27 , MWh , 3 588.30 , 
20-21 , PLN/MWh , 164.50 , MWh , 3 435.10 , 
21-22 , PLN/MWh , 146.02 , MWh , 3 115.90 , 
22-23 , PLN/MWh , 140.29 , MWh , 2 454.20 , 
23-24 , PLN/MWh , 134.94 , MWh , 2 926.50 , 
0-1 , PLN/MWh , 138.21 , MWh , 3 720.30 , 
1-2 , PLN/MWh , 136.58 , MWh , 3 558.40 , 
2-3 , PLN/MWh , 136.13 , MWh , 3 640.00 , 
3-4 , PLN/MWh , 138.55 , MWh , 3 601.00 , 
4-5 , PLN/MWh , 139.21 , MWh , 3 714.00 , 
5-6 , PLN/MWh , 147.02 , MWh , 3 901.90 , 
6-7 , PLN/MWh , 161.42 , MWh , 3 690.80 , 
7-8 , PLN/MWh , 196.54 , MWh , 3 207.40 , 
8-9 , PLN/MWh , 209.27 , MWh , 3 575.10 , 
9-10 , PLN/MWh , 217.03 , MWh , 3 987.90 , 
10-11 , PLN/MWh , 217.63 , MWh , 4 138.00 , 
11-12 , PLN/MWh , 225.77 , MWh , 4 268.40 , 
12-13 , PLN/MWh , 232.73 , MWh , 4 405.90 , 
13-14 , PLN/MWh , 243.93 , MWh , 4 512.60 , 
14-15 , PLN/MWh , 238.27 , MWh , 4 441.20 , 
15-16 , PLN/MWh , 235.69 , MWh , 4 443.20 , 
16-17 , PLN/MWh , 453.04 , MWh , 4 456.70 , 
17-18 , PLN/MWh , 445.41 , MWh , 4 555.40 , 
18-19 , PLN/MWh , 401.80 , MWh , 4 425.20 , 
19-20 , PLN/MWh , 288.37 , MWh , 4 747.40 , 
20-21 , PLN/MWh , 226.48 , MWh , 4 330.60 , 
21-22 , PLN/MWh , 197.98 , MWh , 3 486.20 , 
22-23 , PLN/MWh , 170.54 , MWh , 4 528.10 , 
23-24 , PLN/MWh , 157.24 , MWh , 3 792.30 , 
0-1 , PLN/MWh , 146.82 , MWh , 2 936.50 , 
1-2 , PLN/MWh , 145.19 , MWh , 3 120.00 , 
2-3 , PLN/MWh , 141.95 , MWh , 3 257.50 , 
3-4 , PLN/MWh , 140.77 , MWh , 3 176.60 , 
4-5 , PLN/MWh , 144.63 , MWh , 3 235.60 , 
5-6 , PLN/MWh , 147.27 , MWh , 3 151.60 , 
6-7 , PLN/MWh , 157.90 , MWh , 4 117.90 , 
7-8 , PLN/MWh , 190.71 , MWh , 3 094.20 , 
8-9 , PLN/MWh , 199.00 , MWh , 3 765.20 , 
9-10 , PLN/MWh , 201.95 , MWh , 4 131.90 , 
10-11 , PLN/MWh , 204.42 , MWh , 4 251.00 , 
11-12 , PLN/MWh , 210.95 , MWh , 4 219.90 , 
12-13 , PLN/MWh , 210.67 , MWh , 4 213.00 , 
13-14 , PLN/MWh , 214.77 , MWh , 4 215.40 , 
14-15 , PLN/MWh , 206.24 , MWh , 4 241.50 , 
15-16 , PLN/MWh , 202.71 , MWh , 4 106.50 , 
16-17 , PLN/MWh , 264.57 , MWh , 4 256.10 , 
17-18 , PLN/MWh , 286.52 , MWh , 4 170.70 , 
18-19 , PLN/MWh , 249.01 , MWh , 4 315.70 , 
19-20 , PLN/MWh , 220.57 , MWh , 4 172.60 , 
20-21 , PLN/MWh , 199.91 , MWh , 3 974.60 , 
21-22 , PLN/MWh , 178.96 , MWh , 3 061.40 , 
22-23 , PLN/MWh , 156.05 , MWh , 4 361.90 , 
23-24 , PLN/MWh , 144.83 , MWh , 3 617.60 , 
0-1 , PLN/MWh , 135.07 , MWh , 2 207.30 , 
1-2 , PLN/MWh , 133.89 , MWh , 2 099.00 , 
2-3 , PLN/MWh , 132.69 , MWh , 2 260.90 , 
3-4 , PLN/MWh , 132.62 , MWh , 2 237.50 , 
4-5 , PLN/MWh , 134.45 , MWh , 2 167.00 , 
5-6 , PLN/MWh , 136.91 , MWh , 2 406.70 , 
6-7 , PLN/MWh , 150.98 , MWh , 3 387.80 , 
7-8 , PLN/MWh , 211.25 , MWh , 2 724.90 , 
8-9 , PLN/MWh , 212.69 , MWh , 3 370.30 , 
9-10 , PLN/MWh , 215.58 , MWh , 3 515.80 , 
10-11 , PLN/MWh , 215.57 , MWh , 3 514.90 , 
11-12 , PLN/MWh , 216.29 , MWh , 3 622.70 , 
12-13 , PLN/MWh , 226.52 , MWh , 3 624.60 , 
13-14 , PLN/MWh , 226.47 , MWh , 3 579.90 , 
14-15 , PLN/MWh , 216.98 , MWh , 3 571.70 , 
15-16 , PLN/MWh , 214.92 , MWh , 3 491.00 , 
16-17 , PLN/MWh , 348.10 , MWh , 3 536.70 , 
17-18 , PLN/MWh , 379.46 , MWh , 3 530.40 , 
18-19 , PLN/MWh , 238.41 , MWh , 3 462.40 , 
19-20 , PLN/MWh , 216.42 , MWh , 3 659.40 , 
20-21 , PLN/MWh , 210.84 , MWh , 3 309.60 , 
21-22 , PLN/MWh , 177.22 , MWh , 2 728.40 , 
22-23 , PLN/MWh , 149.72 , MWh , 3 310.10 , 
23-24 , PLN/MWh , 141.00 , MWh , 2 783.20 , 
0-1 , PLN/MWh , 142.65 , MWh , 2 918.60 , 
1-2 , PLN/MWh , 139.27 , MWh , 3 262.90 , 
2-3 , PLN/MWh , 138.95 , MWh , 3 117.80 , 
3-4 , PLN/MWh , 139.30 , MWh , 3 117.80 , 
4-5 , PLN/MWh , 140.76 , MWh , 3 136.10 , 
5-6 , PLN/MWh , 143.95 , MWh , 2 728.30 , 
6-7 , PLN/MWh , 154.96 , MWh , 3 897.20 , 
7-8 , PLN/MWh , 203.65 , MWh , 3 276.50 , 
8-9 , PLN/MWh , 221.20 , MWh , 3 703.40 , 
9-10 , PLN/MWh , 241.15 , MWh , 3 829.20 , 
10-11 , PLN/MWh , 241.28 , MWh , 4 105.50 , 
11-12 , PLN/MWh , 256.88 , MWh , 4 176.40 , 
12-13 , PLN/MWh , 266.44 , MWh , 4 076.80 , 
13-14 , PLN/MWh , 282.68 , MWh , 4 085.10 , 
14-15 , PLN/MWh , 256.88 , MWh , 3 864.90 , 
15-16 , PLN/MWh , 260.24 , MWh , 3 818.90 , 
16-17 , PLN/MWh , 476.94 , MWh , 3 878.20 , 
17-18 , PLN/MWh , 489.91 , MWh , 3 709.30 , 
18-19 , PLN/MWh , 437.97 , MWh , 3 893.70 , 
19-20 , PLN/MWh , 293.23 , MWh , 4 069.40 , 
20-21 , PLN/MWh , 217.00 , MWh , 4 035.90 , 
21-22 , PLN/MWh , 190.57 , MWh , 3 569.00 , 
22-23 , PLN/MWh , 154.38 , MWh , 3 914.40 , 
23-24 , PLN/MWh , 147.79 , MWh , 3 023.00 , 
0-1 , PLN/MWh , 139.61 , MWh , 3 196.30 , 
1-2 , PLN/MWh , 137.71 , MWh , 3 340.30 , 
2-3 , PLN/MWh , 136.09 , MWh , 3 290.50 , 
3-4 , PLN/MWh , 136.02 , MWh , 3 278.30 , 
4-5 , PLN/MWh , 137.85 , MWh , 3 215.20 , 
5-6 , PLN/MWh , 142.25 , MWh , 2 989.20 , 
6-7 , PLN/MWh , 154.62 , MWh , 4 102.10 , 
7-8 , PLN/MWh , 199.39 , MWh , 3 083.80 , 
8-9 , PLN/MWh , 218.95 , MWh , 3 570.70 , 
9-10 , PLN/MWh , 231.44 , MWh , 3 869.20 , 
10-11 , PLN/MWh , 229.64 , MWh , 3 990.40 , 
11-12 , PLN/MWh , 235.26 , MWh , 3 865.80 , 
12-13 , PLN/MWh , 241.59 , MWh , 4 070.50 , 
13-14 , PLN/MWh , 248.83 , MWh , 3 927.80 , 
14-15 , PLN/MWh , 229.46 , MWh , 3 917.70 , 
15-16 , PLN/MWh , 229.01 , MWh , 3 688.10 , 
16-17 , PLN/MWh , 381.48 , MWh , 3 562.10 , 
17-18 , PLN/MWh , 380.62 , MWh , 3 522.20 , 
18-19 , PLN/MWh , 278.30 , MWh , 3 314.00 , 
19-20 , PLN/MWh , 225.63 , MWh , 3 860.10 , 
20-21 , PLN/MWh , 206.26 , MWh , 3 488.10 , 
21-22 , PLN/MWh , 187.67 , MWh , 3 212.50 , 
22-23 , PLN/MWh , 150.10 , MWh , 3 839.20 , 
23-24 , PLN/MWh , 143.84 , MWh , 2 985.90 , 
0-1 , PLN/MWh , 137.40 , MWh , 2 948.50 , 
1-2 , PLN/MWh , 129.67 , MWh , 3 063.50 , 
2-3 , PLN/MWh , 125.65 , MWh , 2 807.40 , 
3-4 , PLN/MWh , 124.81 , MWh , 2 886.80 , 
4-5 , PLN/MWh , 126.60 , MWh , 2 896.70 , 
5-6 , PLN/MWh , 129.79 , MWh , 2 952.10 , 
6-7 , PLN/MWh , 136.88 , MWh , 2 789.10 , 
7-8 , PLN/MWh , 145.97 , MWh , 2 684.20 , 
8-9 , PLN/MWh , 153.68 , MWh , 3 170.80 , 
9-10 , PLN/MWh , 174.88 , MWh , 4 093.00 , 
10-11 , PLN/MWh , 189.00 , MWh , 4 410.40 , 
11-12 , PLN/MWh , 200.82 , MWh , 4 548.00 , 
12-13 , PLN/MWh , 197.99 , MWh , 4 559.10 , 
13-14 , PLN/MWh , 197.80 , MWh , 4 567.20 , 
14-15 , PLN/MWh , 186.87 , MWh , 4 433.80 , 
15-16 , PLN/MWh , 186.41 , MWh , 4 406.90 , 
16-17 , PLN/MWh , 346.34 , MWh , 5 007.80 , 
17-18 , PLN/MWh , 359.11 , MWh , 5 109.00 , 
18-19 , PLN/MWh , 294.29 , MWh , 5 084.70 , 
19-20 , PLN/MWh , 206.03 , MWh , 4 802.80 , 
20-21 , PLN/MWh , 178.22 , MWh , 5 005.80 , 
21-22 , PLN/MWh , 167.74 , MWh , 4 419.50 , 
22-23 , PLN/MWh , 146.67 , MWh , 3 285.70 , 
23-24 , PLN/MWh , 141.23 , MWh , 2 941.00 , 
0-1 , PLN/MWh , 139.63 , MWh , 2 984.80 , 
1-2 , PLN/MWh , 134.54 , MWh , 3 273.20 , 
2-3 , PLN/MWh , 131.55 , MWh , 3 182.60 , 
3-4 , PLN/MWh , 129.01 , MWh , 3 178.40 , 
4-5 , PLN/MWh , 129.74 , MWh , 3 243.10 , 
5-6 , PLN/MWh , 134.20 , MWh , 3 477.60 , 
6-7 , PLN/MWh , 135.17 , MWh , 3 235.60 , 
7-8 , PLN/MWh , 139.42 , MWh , 3 056.20 , 
8-9 , PLN/MWh , 140.43 , MWh , 2 817.90 , 
9-10 , PLN/MWh , 146.76 , MWh , 2 646.90 , 
10-11 , PLN/MWh , 151.66 , MWh , 3 047.10 , 
11-12 , PLN/MWh , 156.71 , MWh , 3 078.50 , 
12-13 , PLN/MWh , 164.36 , MWh , 3 114.10 , 
13-14 , PLN/MWh , 168.61 , MWh , 3 210.40 , 
14-15 , PLN/MWh , 155.58 , MWh , 3 284.00 , 
15-16 , PLN/MWh , 151.31 , MWh , 3 328.00 , 
16-17 , PLN/MWh , 169.95 , MWh , 3 730.80 , 
17-18 , PLN/MWh , 176.61 , MWh , 4 140.60 , 
18-19 , PLN/MWh , 177.56 , MWh , 4 177.60 , 
19-20 , PLN/MWh , 178.10 , MWh , 4 220.70 , 
20-21 , PLN/MWh , 168.75 , MWh , 4 047.60 , 
21-22 , PLN/MWh , 151.19 , MWh , 4 050.40 , 
22-23 , PLN/MWh , 145.45 , MWh , 3 646.70 , 
23-24 , PLN/MWh , 138.90 , MWh , 3 508.80 , 
0-1 , PLN/MWh , 138.78 , MWh , 2 730.40 , 
1-2 , PLN/MWh , 130.60 , MWh , 2 906.30 , 
2-3 , PLN/MWh , 129.94 , MWh , 2 995.50 , 
3-4 , PLN/MWh , 129.86 , MWh , 2 950.30 , 
4-5 , PLN/MWh , 134.78 , MWh , 3 019.20 , 
5-6 , PLN/MWh , 144.06 , MWh , 2 911.20 , 
6-7 , PLN/MWh , 156.18 , MWh , 4 117.90 , 
7-8 , PLN/MWh , 209.37 , MWh , 3 032.50 , 
8-9 , PLN/MWh , 219.69 , MWh , 3 643.00 , 
9-10 , PLN/MWh , 230.19 , MWh , 3 945.60 , 
10-11 , PLN/MWh , 227.16 , MWh , 3 941.20 , 
11-12 , PLN/MWh , 233.15 , MWh , 3 849.00 , 
12-13 , PLN/MWh , 233.57 , MWh , 3 989.40 , 
13-14 , PLN/MWh , 236.01 , MWh , 4 123.90 , 
14-15 , PLN/MWh , 225.66 , MWh , 4 161.10 , 
15-16 , PLN/MWh , 222.82 , MWh , 3 893.60 , 
16-17 , PLN/MWh , 381.82 , MWh , 3 750.10 , 
17-18 , PLN/MWh , 409.22 , MWh , 3 858.30 , 
18-19 , PLN/MWh , 374.22 , MWh , 3 735.70 , 
19-20 , PLN/MWh , 234.79 , MWh , 3 955.10 , 
20-21 , PLN/MWh , 213.64 , MWh , 3 946.90 , 
21-22 , PLN/MWh , 190.27 , MWh , 3 321.70 , 
22-23 , PLN/MWh , 150.45 , MWh , 4 545.20 , 
23-24 , PLN/MWh , 145.67 , MWh , 3 403.90 , 
0-1 , PLN/MWh , 143.62 , MWh , 2 719.80 , 
1-2 , PLN/MWh , 141.27 , MWh , 2 803.60 , 
2-3 , PLN/MWh , 138.36 , MWh , 2 787.40 , 
3-4 , PLN/MWh , 137.51 , MWh , 2 825.40 , 
4-5 , PLN/MWh , 141.71 , MWh , 2 903.20 , 
5-6 , PLN/MWh , 144.21 , MWh , 2 764.70 , 
6-7 , PLN/MWh , 154.38 , MWh , 4 056.00 , 
7-8 , PLN/MWh , 201.60 , MWh , 3 530.70 , 
8-9 , PLN/MWh , 213.94 , MWh , 3 879.20 , 
9-10 , PLN/MWh , 222.16 , MWh , 3 842.10 , 
10-11 , PLN/MWh , 221.32 , MWh , 3 718.90 , 
11-12 , PLN/MWh , 226.18 , MWh , 3 893.40 , 
12-13 , PLN/MWh , 226.86 , MWh , 3 978.00 , 
13-14 , PLN/MWh , 229.60 , MWh , 4 060.70 , 
14-15 , PLN/MWh , 216.99 , MWh , 3 779.00 , 
15-16 , PLN/MWh , 213.32 , MWh , 3 733.20 , 
16-17 , PLN/MWh , 262.66 , MWh , 3 802.70 , 
17-18 , PLN/MWh , 345.67 , MWh , 3 520.10 , 
18-19 , PLN/MWh , 240.46 , MWh , 3 545.40 , 
19-20 , PLN/MWh , 222.73 , MWh , 3 826.30 , 
20-21 , PLN/MWh , 211.84 , MWh , 3 650.50 , 
21-22 , PLN/MWh , 183.81 , MWh , 3 392.50 , 
22-23 , PLN/MWh , 150.98 , MWh , 3 800.70 , 
23-24 , PLN/MWh , 142.27 , MWh , 3 090.60 , 
0-1 , PLN/MWh , 132.26 , MWh , 2 204.90 , 
1-2 , PLN/MWh , 125.74 , MWh , 2 238.50 , 
2-3 , PLN/MWh , 122.98 , MWh , 2 281.20 , 
3-4 , PLN/MWh , 123.35 , MWh , 2 219.40 , 
4-5 , PLN/MWh , 128.36 , MWh , 2 561.20 , 
5-6 , PLN/MWh , 136.15 , MWh , 2 574.50 , 
6-7 , PLN/MWh , 148.76 , MWh , 4 307.20 , 
7-8 , PLN/MWh , 208.24 , MWh , 3 215.00 , 
8-9 , PLN/MWh , 217.24 , MWh , 3 475.00 , 
9-10 , PLN/MWh , 226.45 , MWh , 3 612.70 , 
10-11 , PLN/MWh , 226.37 , MWh , 3 527.20 , 
11-12 , PLN/MWh , 226.27 , MWh , 3 442.60 , 
12-13 , PLN/MWh , 226.21 , MWh , 3 386.90 , 
13-14 , PLN/MWh , 228.13 , MWh , 3 407.10 , 
14-15 , PLN/MWh , 226.41 , MWh , 3 705.80 , 
